Speaker,Vowel,Context,F150_lob,F250_lob,F180_lob,F280_lob
ES_2021,IY,HEED,-0.604,1.792,-0.739,1.759
ES_2021,IY,HEAT,-1.262,2.17,-1.355,0.973
ES_2021,IY,HEEL,-0.792,1.31,-0.498,-0.143
ES_2021,IY,BEAN,-1.084,2.099,-1.156,1.891
ES_2021,IY,HE,-1.062,2.096,-1.4,1.944
ES_2021,EY,PAID,-0.389,1.506,-0.838,1.561
ES_2021,EY,HEY,-0.951,1.644,-1.041,1.506
ES_2021,UW,WHO'D,-1.171,-0.082,-1.235,0.031
ES_2021,UW,BOON,-1.343,-0.235,-1.132,0.195
ES_2021,UW,WHO,-0.825,0.224,-1.023,-0.282
ES_2021,OW,BODE,-0.29,-0.301,-0.409,0.146
ES_2021,OW,BOAT,-0.122,-0.235,-0.555,-0.01
ES_2021,OW,HOLE,0.91,-1.384,0.352,-1.478
ES_2021,OW,HONE,-0.123,-0.928,-0.713,0.442
ES_2021,OW,HOE,-0.479,-0.28,-1.117,-0.669
ES_2021,IH,HID,-0.452,1.288,-0.793,0.958
ES_2021,IH,HIT,-0.433,1.346,-0.399,1.314
ES_2021,IH,HILL,-0.179,-0.139,-0.306,-0.831
ES_2021,IH,PIN,0.597,1.243,0.631,0.91
ES_2021,EH,HEAD,-0.327,0.893,-0.584,0.769
ES_2021,EH,BET,0.791,0.836,0.059,0.909
ES_2021,EH,HELL,1.193,-0.597,0.383,-1.061
ES_2021,EH,HEN,1.124,0.76,0.474,0.363
ES_2021,AE,HAT,3.488,-0.055,3.215,0.022
ES_2021,AE,PAN,3.092,0.399,2.52,0.334
ES_2021,UH,HOOD,-0.485,-0.523,-0.378,0.054
ES_2021,UH,PUT,-0.269,-0.665,-0.368,0.099
ES_2021,AH,BUD,0.713,-0.412,0.383,0.104
ES_2021,AH,HUT,1.793,-0.388,1.195,-0.081
ES_2021,AH,HULL,0.415,-1.281,0.009,-1.276
ES_2021,AO,PAWED,-0.372,-1.677,-0.064,-1.258
ES_2021,AO,BOUGHT,-0.506,-1.696,-0.131,-1.2
ES_2021,AO,PAW,-0.53,-1.765,-1.703,-1.678
ES_2021,AE,PASS,2.003,-0.838,2.111,-0.28
ES_2021,AA,FATHER,2.25,-0.76,1.523,-0.632
ES_2021,ER,HURT,0.903,-0.265,0.475,-0.005
ES_2021,ER,BURN,-0.586,-0.289,-0.716,-0.198
ES_2021,ER,HER,0.211,-0.391,0.574,-0.262
